"Trait","Model","LogLik","AICc","Rate_1_to_2","Rate_2_to_1","Delta_AICc","Weight"
"GF","ARD",-12917.199,25838.3982,0.0064,0.0077,0,0.9975
"GF","ER",-12924.1799,25850.3598,0.0071,0.0071,11.9616,0.0025
