"Trait","Model","LogLik","AICc","Rate_1_to_2","Rate_2_to_1","Delta_AICc","Weight"
"PT","ARD",-5863.5353,11731.0709,0.0025,0.0074,0,1
"PT","ER",-5959.0206,11920.0412,0.0033,0.0033,188.9703,0
