"Trait","Model","LogLik","AICc","Rate_1_to_2","Rate_2_to_1","Delta_AICc","Weight"
"LV","ARD",-2950.7528,5905.5059,0.0014,0.0038,0,1
"LV","ER",-3001.2555,6004.5111,0.0019,0.0019,99.0052,0
