"Trait","Model","LogLik","AICc","Rate_1_to_2","Rate_2_to_1","Delta_AICc","Weight"
"LC","ARD",-9456.1232,18916.2466,0.0033,0.075,0,1
"LC","ER",-11223.3452,22448.6904,0.0062,0.0062,3532.4438,0
