"Trait","Model","LogLik","AICc","Rate_1_to_2","Rate_2_to_1","Delta_AICc","Weight"
"RS","ER",-2230.0097,4462.0198,0.0078,0.0078,0,0.5475
"RS","ARD",-2229.1999,4462.4011,0.0082,0.0073,0.3813,0.4525
