"Trait","Model","LogLik","AICc","Rate_1_to_2","Rate_2_to_1","Delta_AICc","Weight"
"LS","ARD",-5553.5625,11111.1253,0.0018,0.0057,0,1
"LS","ER",-5645.0573,11292.1146,0.0025,0.0025,180.9894,0
