"Trait","Model","LogLik","AICc","Rate_1_to_2","Rate_2_to_1","Delta_AICc","Weight"
"PH","ARD",-5995.2344,11994.4694,0.0066,0.021,0,1
"PH","ER",-6163.6041,12329.2085,0.011,0.011,334.7391,0
