ECO_ID,SpeciesCount,BiomeType,GF_H,LC_A,PH_D,RS_T,PT_U,LS_C,LM_L,LV_P,SS_B,IF_I,OP_H,FS_Z,PF_C,FT_D,FD_D,SizeCategory,sPC1,sPC2,sPC3
10401,168.9333333,Temp Forests,1.301917647,-1.927192392,-0.924636777,0.049910558,1.573561857,-2.510761246,-0.140300424,-0.03071023,0.999099643,0.924636777,0.325429079,-1.401053205,0.39628332,1.998903792,-0.208671409,"[57, 670]",-0.469554200150086,2.36891052691775,2.44649537504998
10402,5674.2,Temp Forests,0.007392656,-2.030473273,-1.258678088,-0.274819135,1.393597955,-1.922470628,-0.657295061,-0.387233186,1.528622981,0.883492429,0.745892008,-0.50738465,0.527269272,1.587052604,0.104524653,"(1652, 9633]",-0.0698557481915731,-0.936696725650995,2.28942461192464
10403,428.0666667,Temp Forests,0.989008065,-3.267252593,-1.582297258,-0.849459717,1.092036464,-2.845965908,-0.764965555,0.344455844,1.070503352,1.12957728,0.179981402,-1.37829146,0.185955512,2.408233946,-0.274431355,"[57, 670]",0.956689681265736,2.5941999526415,3.82386022757957
10404,933.2666667,Temp Forests,1.106175014,-2.357975707,-1.120914731,-0.107031057,1.207254159,-2.676205742,-0.590114332,0.174852592,1.231454623,1.034489224,0.421162599,-1.186921517,0.24991829,2.140311858,-0.188721548,"(670, 1652]",-0.0307893237595983,1.39894823545434,3.1372373512277
10405,2163.933333,Temp Forests,0.514661109,-1.927540785,-0.399074491,0.187843372,1.317063853,-2.038562969,-0.141187975,-0.368396671,1.171357632,0.948489741,0.610652635,-0.953514288,0.409790292,1.735522726,-0.176647254,"(1652, 9633]",-0.413211426009502,0.794761324023788,1.27851788695396
10406,1923.066667,Temp Forests,0.504441159,-1.690369105,-0.500097775,0.310955579,1.216473583,-1.920188712,-0.111376683,-0.411352963,1.24984895,0.852981227,0.7385517,-0.936245348,0.347864149,1.575815477,-0.187674668,"(1652, 9633]",-0.322642704441526,0.31458809444824,0.807661795476882
10407,313.2666667,Temp Forests,0.984349782,-3.009991907,-1.413195762,-0.424792369,1.164038719,-2.690383174,-0.485645219,0.041763558,1.017070183,0.941267586,0.102448898,-1.251155752,0.378713902,1.917259423,-0.32142948,"[57, 670]",0.917595025283175,2.40563541767112,3.0627650260422
10408,1075.933333,Temp Forests,0.940192021,-1.65028335,-0.618159344,0.390923955,1.262055969,-2.090431243,-0.081041751,-0.09324724,1.261172634,0.939686983,0.568886744,-1.014597481,0.348154132,1.955316544,-0.225236095,"(670, 1652]",-0.812148450507099,0.690609885169088,1.49604753688619
10409,4307.333333,Temp Forests,0.38663183,-1.849525429,-0.997665838,0.104133023,1.646439291,-2.257403373,-0.602623192,-0.003799514,1.719114069,1.068809827,0.534812595,-0.389806423,0.558591853,2.165556608,0.209482327,"(1652, 9633]",-1.44757730463337,-1.2838856124544,3.75177447726406
10410,524.9333333,Temp Forests,0.836047161,-2.091755599,-0.788898348,0.359268592,0.968759364,-2.35428144,-0.042997565,-0.244884998,1.306881114,0.85826534,0.3578504,-1.209433328,0.317807328,1.823159226,-0.224985974,"[57, 670]",0.00211281218616433,0.896067697826781,1.59083011729218
10411,1441.533333,Temp Forests,1.08343402,-1.493371742,-0.689141093,0.324519246,1.644210566,-2.201254032,-0.298678948,0.262839713,1.574171236,1.146911236,0.653144421,-0.571112367,0.572456734,2.625239567,-0.020628169,"(670, 1652]",-2.32018093855243,-0.245782070799917,3.17560008791972
10412,1340.266667,Temp Forests,0.952645843,-1.715750785,-1.128632201,0.104689815,1.676827548,-2.31752743,-0.57179573,0.361436612,1.616335908,1.099277735,0.540555496,-0.465309442,0.606913424,2.58970248,0.100545949,"(670, 1652]",-1.94201656861232,-0.574467286960399,4.00164394134553
10413,1277.933333,Temp Forests,0.943883385,-1.871925236,-0.934072036,0.056240396,1.677831773,-2.310645959,-0.533938429,0.387517391,1.529748181,1.19161599,0.495481968,-0.500695348,0.548755844,2.657380093,0.111624586,"(670, 1652]",-1.99493327397273,-0.327673463191643,4.00028448025621
10414,421.2666667,Temp Forests,0.769702873,-2.975999175,-1.061460542,-0.771488695,1.078311505,-2.82260883,-0.514558045,0.196557562,1.058979985,0.943800889,0.291605216,-1.226333891,0.378198878,1.75713745,-0.335787929,"[57, 670]",1.01368468926396,2.4863310884233,3.11944334729729
10701,2114.466667,Grasslands,0.386560777,-1.247535144,-1.082641039,-1.404684253,1.183950103,-1.773334295,-0.874104016,-0.446279315,1.487287854,0.662964689,1.292941891,-0.495673214,0.683181618,1.463053631,-0.068798521,"(1652, 9633]",0.388175682022259,-0.548471112587227,1.15098471842226
