ECO_ID,SpeciesCount,BiomeType,GF_H,GF_W,LC_A,LC_P,PH_D,PH_E,RS_F,RS_T,PT_M,PT_U,LS_C,LS_S,LM_E,LM_L,LV_P,LV_R,SS_B,SS_U,IF_D,IF_I,OP_E,OP_H,FS_A,FS_Z,PF_C,PF_S,FT_D,FT_F,FD_D,FD_I,SizeCategory,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
10105,2402.333333,Trop/Subtrop Forests,0.388928068,0.611071932,0.033873874,0.966126126,0.16255144,0.83744856,0.868501529,0.131498471,0.271450266,0.728549734,0.104810997,0.895189003,0.755721128,0.244278872,0.347571942,0.652428058,0.690824705,0.309175295,0.382374907,0.617625093,0.414719219,0.585280781,0.690444592,0.309555408,0.624763347,0.375236653,0.630498534,0.369501466,0.451073117,0.548926883,"(1652, 9633]",3.61683784357122,-1.4391250653988,1.91472656742213,-0.701767216321017,0.0736207508186171,0.27714441094095,0.875438624167232,0.37662067139104,0.379432792442786,0.707697303257772,0.409246123345304,0.571714820281909,0.228965118188883,-0.0575860534121735,0.024036992957081
10106,528.7333333,Trop/Subtrop Forests,0.170111288,0.829888712,0.017713366,0.982286634,0.106508876,0.893491124,0.897435897,0.102564103,0.30318258,0.69681742,0.166666667,0.833333333,0.761670762,0.238329238,0.161825726,0.838174274,0.607431341,0.392568659,0.460714286,0.539285714,0.277070064,0.722929936,0.795918367,0.204081633,0.610108303,0.389891697,0.466442953,0.533557047,0.367346939,0.632653061,"[57, 670]",6.26566223033084,-2.62601652452014,-1.63313360278769,0.237153729511699,0.553864114009958,-0.376248627968622,0.358467570801264,-0.464546206418933,0.412132986188019,0.417551799953158,0.269977851983936,0.209604065786842,0.108193599021144,0.206252419253236,-0.0883556970040857
10107,436.9333333,Trop/Subtrop Forests,0.289017341,0.710982659,0.042857143,0.957142857,0.173515982,0.826484018,0.866666667,0.133333333,0.29258517,0.70741483,0.156787763,0.843212237,0.722560976,0.277439024,0.222513089,0.777486911,0.637254902,0.362745098,0.383157895,0.616842105,0.34914611,0.65085389,0.729241877,0.270758123,0.643010753,0.356989247,0.590196078,0.409803922,0.377952756,0.622047244,"[57, 670]",4.5549392715068,-2.26325647563299,-0.177548162998308,-0.102374547872064,-0.526747839724998,-0.353899486533187,0.75020093703649,-0.202042724684694,0.531242690343829,0.658475221794684,-0.00524484853634176,0.252661834841771,0.187047832113088,-0.235978611807764,0.357157383339445
10109,193.1333333,Trop/Subtrop Forests,0.504385965,0.495614035,0.123853211,0.876146789,0.233870968,0.766129032,0.423076923,0.576923077,0.296650718,0.703349282,0.131578947,0.868421053,0.575757576,0.424242424,0.274390244,0.725609756,0.695454545,0.304545455,0.355140187,0.644859813,0.311926606,0.688073394,0.793721973,0.206278027,0.526829268,0.473170732,0.712962963,0.287037037,0.431924883,0.568075117,"[57, 670]",2.10755354754154,-0.932306495733102,-0.1358141983438,2.10687971708074,1.27409778303944,0.262996897613784,-0.24737185525485,-0.572013649880694,0.831117160154293,0.0834839437982053,-0.654088657765482,-0.0396227861487139,-0.331659163210945,0.260272540286801,-0.0458531549431215
10111,519.1333333,Trop/Subtrop Forests,0.200647249,0.799352751,0.018032787,0.981967213,0.111821086,0.888178914,0.902439024,0.097560976,0.2996633,0.7003367,0.163398693,0.836601307,0.749373434,0.250626566,0.194154489,0.805845511,0.601317957,0.398682043,0.421731123,0.578268877,0.251223491,0.748776509,0.75911252,0.24088748,0.640653358,0.359346642,0.5625,0.4375,0.380136986,0.619863014,"[57, 670]",5.40059785963423,-2.71157729892471,-1.41557496705392,-0.492129150954842,0.327346934154944,-0.451339047522035,0.67185762564988,-0.446953239907697,0.378254516858146,0.0366002064657838,-0.214321955816518,0.202219349378422,0.0825364336346171,0.0397864430067115,0.385238296917735
10113,2099.933333,Trop/Subtrop Forests,0.24137931,0.75862069,0.024439103,0.975560897,0.10707457,0.89292543,0.836363636,0.163636364,0.298394291,0.701605709,0.096269555,0.903730445,0.839586028,0.160413972,0.231048806,0.768951194,0.715289256,0.284710744,0.488429752,0.511570248,0.347619048,0.652380952,0.771667881,0.228332119,0.590268304,0.409731696,0.538461538,0.461538462,0.405585106,0.594414894,"(1652, 9633]",5.54429331379666,-1.29242056440264,0.473582006532039,0.114589042803569,1.28504921663927,-0.146642367274884,-0.633632236000649,0.407741978570632,-0.150917146023056,0.69098859229878,0.851360165536322,0.298965682120731,0.525092072540941,0.0114013628331152,-0.117168931293824
10115,1598.733333,Trop/Subtrop Forests,0.267791249,0.732208751,0.049126638,0.950873362,0.156028369,0.843971631,0.786666667,0.213333333,0.274393531,0.725606469,0.162631579,0.837368421,0.745819398,0.254180602,0.215517241,0.784482759,0.616071429,0.383928571,0.407925408,0.592074592,0.258403361,0.741596639,0.742034943,0.257965057,0.629213483,0.370786517,0.577548807,0.422451193,0.379464286,0.620535714,"(670, 1652]",4.58685125614848,-2.32397309930158,-1.15280750746382,-0.311832561534387,0.275925154466307,-0.660099404532525,0.583961906510982,-0.805904496270053,0.278037473861523,0.176675323608217,-0.274144962115648,0.396681539460777,0.201494583178224,0.0602086383859468,0.18721748333449
10117,2949.866667,Trop/Subtrop Forests,0.408897705,0.591102295,0.085921013,0.914078987,0.160786582,0.839213418,0.795719844,0.204280156,0.25,0.75,0.153428571,0.846571429,0.731310466,0.268689534,0.304018196,0.695981804,0.755294118,0.244705882,0.352511416,0.647488584,0.28926097,0.71073903,0.683867309,0.316132691,0.656182547,0.343817453,0.66460177,0.33539823,0.448024316,0.551975684,"(1652, 9633]",2.42424055945454,-0.789456681028897,0.409734116782621,-1.56724912735124,-0.131492541841128,-0.367631452798035,-0.176976100393585,0.132865710450247,0.217555540102786,0.396084827533263,0.213711659300876,-0.22635559013551,-0.149638257554919,0.00129748690002994,-0.0571919769840873
10119,587.8666667,Trop/Subtrop Forests,0.402017291,0.597982709,0.026825633,0.973174367,0.126984127,0.873015873,0.901234568,0.098765432,0.237956204,0.762043796,0.097841727,0.902158273,0.794466403,0.205533597,0.404553415,0.595446585,0.674418605,0.325581395,0.406050955,0.593949045,0.434846266,0.565153734,0.621659634,0.378340366,0.696774194,0.303225806,0.653673163,0.346326837,0.516516517,0.483483483,"[57, 670]",3.14688815913704,-1.22042221871844,2.53141587939192,-2.45077704652757,0.260460720230775,0.576312184031685,1.8207415457353,0.565022480283046,0.126933399009684,1.36161319065057,0.315199387647079,1.35622740404298,0.299306805129337,-0.1684239206213,0.181835534830269
10120,2724.933333,Trop/Subtrop Forests,0.324240546,0.675759454,0.043630573,0.956369427,0.136260409,0.863739591,0.840390879,0.159609121,0.276679842,0.723320158,0.139143731,0.860856269,0.752371917,0.247628083,0.284671533,0.715328467,0.670739348,0.329260652,0.403514589,0.596485411,0.337316176,0.662683824,0.733491264,0.266508736,0.628619529,0.371380471,0.597289448,0.402710552,0.414990266,0.585009734,"(1652, 9633]",4.18833705673263,-1.84764871605081,0.292371533395934,-0.450216488295242,0.273691102315489,-0.167963204840042,0.380988264489884,-0.0304451478575446,0.448744177729556,0.514413307885071,0.292827455585054,0.40043644029641,0.0497857460567753,0.0213635119409739,0.0499361428785667
