ECO_ID,EnvPC1,EnvPC2,EnvPC3
10105,0.504854862028159,-4.36524909134186,-2.0480927394833
10106,1.49839227803573,-2.54589729126261,-0.175105678332379
10107,0.463755581281524,-3.62808085392074,-1.97276245608882
10109,0.238676353983892,-1.95517758061845,0.626008432525507
10111,2.06848410393174,-4.72726519449839,-0.191643464818109
10113,0.98929627464259,-1.7237641233014,-0.0464356810536154
10115,1.50998131955324,-3.60728091436038,0.390208579284263
10117,1.55605492016017,-0.759451619566472,0.325468694103884
10119,1.94809186289558,-3.72311127312902,-0.337432669334189
10120,1.09528946917397,-2.50849635706154,-0.95093379620255
10123,1.79761554629118,-2.353544387456,-0.00724011911901163
10124,1.0639404802659,-2.92470624229279,-1.56145905011065
10126,1.52268897082416,-3.04122515006364,-0.235957094654081
10128,1.57876186581015,-3.6220192056877,0.084009102542218
10201,1.78190968924704,-1.19589911958622,-0.459823963604856
10202,1.45077881822798,-0.907604853111191,0.98292137400127
10204,2.20098277219428,-0.0442118781266518,-0.324510273230436
10401,-1.72394051923566,-1.9849695771218,1.88704580806703
10402,0.673903491771845,0.236825220381912,0.542178030763713
10403,-1.92408512310423,-3.51103168966558,-1.5917874511611
10404,-1.25404606497178,-3.22911963193114,-0.791946724551813
10405,-0.679438582951673,-1.69663892901797,0.477702300551343
10406,-0.370680146779298,-1.87553731517749,0.99290117615707
10407,-1.35108633258817,-1.99244788667372,0.825521196403178
10408,-1.11020083721778,-1.81110160192021,-0.306481155992864
10409,-0.0423833850783929,0.330233298501673,0.881286827845485
10410,-1.19048128882074,-1.72669649177915,0.875200404317905
10411,-1.1018969229469,-0.776171285176536,0.412288710834026
10412,-0.694338313374512,-0.755621816631148,0.909086085573176
10413,-0.961909815114223,-1.8097094716056,0.483206107105766
10414,-0.866184299949803,-5.00059867679642,-1.07244990564182
10701,3.05508848329605,0.951222257483094,0.56308337630808
10702,1.72303097925784,1.52158300246124,0.994767350447087
10703,2.70446221386635,0.396700327246435,0.631130045227017
10704,3.15598662176051,1.9765843519624,0.822318510978538
10705,2.52815197016544,1.66665013264175,0.395412776537201
10706,3.57734551931673,2.18206460451479,0.562301211016121
10707,2.64957674583261,2.62626350884231,1.22273028698021
10708,1.97878725822242,-1.41926286621572,0.851455946859591
10709,3.45083945806232,2.61254627161734,0.780163251157549
10801,-1.05746329382627,-0.801018354171365,0.463884969323647
10802,1.94197745925613,2.24825770935096,1.3055955476129
10803,0.916549161457094,1.58018155920023,1.50447476288911
11001,-1.18599964316025,-0.422759056808438,-0.62305048787309
11002,-0.889049820499071,-4.71874474228363,-3.60693985553788
11003,-1.82103445683916,-2.60268001521196,-2.05117761931627
11101,-2.48238492734396,-2.41136007708232,0.641112079282457
11201,1.5739128533967,2.04196264383821,1.33548178755798
11202,1.16686869366102,1.47950865087277,1.30093655684716
11203,1.37369032454016,1.62695255558704,1.5140514693626
11204,1.06992048529576,-0.185036364663185,1.0092784704537
11205,1.9788120272999,0.918715731675622,1.068719736569
11206,0.943425768534795,1.12026795364459,1.07904575755438
11207,0.97745218264144,1.80385202385854,1.64497575214797
11208,0.41970635451059,0.458824804538179,1.51466092627823
11209,2.00642377159232,2.20757590626999,1.08369611327536
11210,1.44765762939803,1.04916726570626,0.814726783005888
11301,3.20052179642899,2.65744582898173,1.27215526504325
11302,2.72676752646852,2.89236293149034,1.0248723759135
11304,3.42757460133882,2.85229030327528,0.958896100380854
11305,2.18575965961382,2.38340824966723,1.39238040548609
11306,1.78914088041129,2.33321036820451,1.69039452786737
11307,3.41589064701104,3.2301479399711,0.997250160565674
11308,2.25556412379505,2.47075765936273,1.59470436127536
11309,1.78797952588126,2.44629531253141,1.69905389918485
11310,2.58336246711216,2.95813851825423,1.24375921752899
30101,0.42527792712688,-0.779019381747978,-0.996718793618179
30102,0.78226147917291,-2.512991898105,0.0420582369025609
30103,0.899930775842555,-1.15454333973315,-1.10715837031532
30105,1.88365060345636,-1.46057511957666,-0.820599520102067
30107,1.09522963425801,-2.84423174915192,-0.175590265464447
30108,0.772997522928741,0.354694322247998,-1.13673390200964
30109,0.920208346223668,0.12015613114707,-0.982963115882184
30110,1.04905866290294,-2.35218205459441,0.496450656865435
30111,1.62989710963335,-0.931921701677097,0.491681457869714
30112,1.864360576703,0.974713002740541,-1.03027642945469
30113,2.06878619241243,-1.47864310209078,-0.239172630906418
30114,1.94081090435741,-0.110405910044981,-0.516090498132451
30115,0.748207553139946,0.917946808801185,0.440772744948891
30116,0.875592304764499,-0.0813668445613291,0.685479110863343
30117,1.19934870755788,-1.75889746571717,-0.0635500557490523
30118,1.52557214859205,0.192078865174861,-0.586895930706012
30119,1.61224734568739,0.469699448595593,0.824421993175912
30120,1.08952280873615,-1.6900394974928,-0.691400570379864
30121,0.44123875540125,-3.44873072387205,-2.80609195540263
30122,1.09969611903323,-2.52959220551419,0.596196017472347
30123,1.38186392711149,-1.37635945830799,0.540744412213871
30124,1.30015295266885,-1.77238003327612,0.145878832201972
30125,1.9789883549133,0.0900821293945549,1.01014944707677
30126,0.912925733054932,-1.92578207357386,0.205421293259796
30127,0.473191314133413,-2.2404116409874,-0.353912241204892
30128,2.13242411054775,0.355286510676092,0.590041083440361
30130,1.65503418043668,-2.06328769358659,0.297602246761773
30201,2.21970645183773,1.55799757929147,0.0286432464146921
30202,2.95631852746669,0.674346110330677,0.244463468497581
30701,1.99551375354333,0.802637286747008,-0.550153003872621
30702,2.64990841020459,3.01084808361559,-0.117911314731945
30704,1.46892699750878,0.491614041417017,-0.175013553585984
30705,2.47998774230347,0.770695047652217,0.322954632274086
30706,1.84128206995335,0.334895141772223,0.0332472381471842
30707,1.99428179904296,-0.064645246832331,0.104584393137887
