ECO_ID,SpeciesNumber,SizeCategory,BiomeType,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
10105,2402.333333,"(1652, 9633]",Trop/Subtrop Forests,3.60216375474213,-1.5791165030198,-1.99535156298596,0.485378546807629,0.162262338127652,-0.372616266588503,1.08048530437314,0.37656953766106,0.0739844700099198,0.0767612457058799,-0.125705341633877,0.76092710525475,0.294288901441691,0.0314333460035978,-0.0112300208759932
10106,528.7333333,"[57, 670]",Trop/Subtrop Forests,6.32045645960495,-2.93936322769392,1.38059907647576,-0.10595128341808,-0.430795868186772,-0.181830092900734,-0.139514380024231,-0.121205913891345,-0.320369170658042,0.242467147210878,-0.573732187233945,0.255890691961511,-0.0653825792346905,0.0764327962575372,-0.212668921879686
10107,436.9333333,"[57, 670]",Trop/Subtrop Forests,4.39795543693329,-2.1932376697419,0.109799275587444,-0.161017708076118,0.843715106334935,-0.0591796826010355,0.423659588937642,-0.075811701683225,-0.176590442115784,0.431320944156584,0.0149873924688552,0.499526605675463,0.283879911816179,0.344615499126896,-0.344454462498635
10109,193.1333333,"[57, 670]",Trop/Subtrop Forests,2.05116174961482,-0.749285991885008,0.386400915926286,-2.13554484846589,-1.58462883145139,0.262728963914956,-0.124558155315869,-0.210612115195764,-0.92734221844675,0.537640858032627,0.528241496478004,-0.0939832144328814,-0.301358900362024,-0.368853409956426,0.0861270716750724
10111,519.1333333,"[57, 670]",Trop/Subtrop Forests,5.4954763834645,-3.0139639861128,1.06918319291851,0.596305370484897,0.0967380010235894,-0.112071403549096,0.175799474629946,-0.225841234652023,-0.255478385440467,-0.154233274450684,-0.165161968858412,0.0544988739745044,-0.0869242224429693,0.116377370531546,-0.473257920441868
10113,2099.933333,"(1652, 9633]",Trop/Subtrop Forests,5.58458152937118,-1.6815483470191,-0.815964704735468,0.132028155233916,-1.35156690710127,0.193723574310835,-0.545348207391947,0.742392632700219,0.157248611062434,0.139799822115261,-0.624753113632191,0.675002859760913,0.472025239407173,-0.0322183697054513,0.147311042974842
10115,1598.733333,"(670, 1652]",Trop/Subtrop Forests,4.34908857636914,-2.17515774701283,0.988923426643371,0.136288092562239,0.141076432092121,0.544276485786838,0.0167749482778056,-0.609415548581996,-0.275817916572706,0.0761145578139533,0.267810505238572,0.383524675661442,0.234515152371466,-0.06810161712365,-0.180991664187289
10117,2949.866667,"(1652, 9633]",Trop/Subtrop Forests,2.3477329247633,-0.812655580058708,-0.529953583343274,1.27351912180133,0.585912556806165,0.398770493251796,0.136932611273301,0.264409897673368,-0.211070422722485,0.59087087899023,-0.0144603947605038,0.253232668123829,-0.206645465867686,-0.0236260456016064,0.0597272788016246
10119,587.8666667,"[57, 670]",Trop/Subtrop Forests,3.31625623832228,-1.62588539055552,-2.7672026179057,2.25286814373601,0.304759175275583,-0.597654715598537,2.07482921410506,0.386672169419553,0.571720171295638,0.105251656898066,0.301622746362988,1.48792785262403,0.526979387395745,0.110648003467132,-0.0578642929797002
10120,2724.933333,"(1652, 9633]",Trop/Subtrop Forests,4.06907480862977,-1.86790024818156,-0.423833160631206,0.257831489326921,0.0358754449833045,0.107516390963944,0.407451616101571,0.148009983721214,-0.280052653646108,0.277157128704218,-0.0723226225095541,0.715483687392567,0.0155742534615245,-0.0265218406924941,-0.0629753086894306
10123,677.1333333,"(670, 1652]",Trop/Subtrop Forests,4.64004624448256,-1.79823956801184,1.22324898930966,-0.668696660536031,-0.0946408511415584,0.431755215457099,-0.449181169164764,-0.843318263225365,0.0176583936589877,0.302744967879947,0.406115970268019,0.232716518544759,0.129432424268866,-0.0765814460698536,0.139215842998848
