ECO_ID,PD,MDT,MPD,MNTD
10101,8198.251645119,59.032401213047,249.186886791881,81.8107294848057
10103,3091.14034854,64.4900818726578,243.26469186021,91.3189164297083
10105,63137.9594443763,28.062079261719,246.495556470627,30.4459120932521
10106,21993.1922880122,38.3810911309023,246.51086352301,41.6614206850339
10107,20965.3960602534,41.7356537972599,246.501508619128,50.0582632759887
10109,10434.59308764,45.9209239083095,241.831712749392,58.3028175884974
10110,6783.6059014508,56.581562333833,247.004495500555,61.5724581492733
10111,21907.5129980385,38.4668855355657,245.013879616686,44.0728851904385
10112,9269.2568983698,55.1207685940941,246.125859747685,68.4646402920692
10113,56645.0449506615,25.1067730935536,243.055604978655,29.873700688105
10115,47851.0786221041,27.9136256258618,246.915120546291,33.1382166307657
10116,12605.1538510415,46.4219100181862,247.701414820869,56.5403379643827
10117,80314.2453565265,24.0153267263026,247.959372495682,31.2759891260673
10118,5047.3449370001,56.8404294048381,242.342860743433,72.80398962102
10119,22374.6687089401,37.1128472237493,243.31019745553,41.303007714946
10120,72540.0330979499,25.8879603743059,247.433471050879,30.4720445156782
10121,15302.383891478,44.4101436773487,246.617891764017,53.9148537867088
10122,16659.174805908,42.6307345225718,246.969566408841,49.1464383784855
10123,26679.7565994065,37.1120385184814,247.106384455325,42.0482539985287
10124,26632.6673148833,36.8967212027623,246.982644518912,39.0967953972601
10125,10202.5264038931,53.0449793694029,245.710448579749,66.0636846258686
10126,26328.8792048305,34.3803767611619,246.094891481361,40.0458239403929
10127,17894.1713851503,42.479070651582,246.487783813897,45.7917247982652
10128,24361.7799796333,36.0865068791907,247.453164073435,42.7678894441365
10201,13777.0465046551,44.4229313751895,240.790397880433,54.8889299800003
10202,26292.3436403861,32.7108899838781,241.781998657272,37.8104897999265
10204,12703.4121496511,37.4543182884433,240.046086588361,51.2055169838408
10401,8632.2239537788,42.4922397213487,241.953613797812,47.0999118172097
10402,128479.895729731,18.3574170877664,245.283729852842,26.7648481665435
10403,13596.3870270803,28.4471462238305,234.230798435375,27.2487674846589
10404,27092.0088153712,26.8860466308658,237.891754358527,29.1083768530389
10405,54732.3716334788,21.7897164977889,243.981530986615,27.1718678243563
10406,54103.1107451724,24.2313390612329,244.673177859491,30.8941871959835
10407,12475.1651607597,35.3236602230372,237.171463012885,38.7950965056976
10408,30615.1328559468,25.3856309624986,239.486338861793,29.0318256945792
10409,98316.1215327097,17.9870411939192,244.630611041368,27.0928418502981
10410,18796.841833376,30.8338305991551,239.091557883903,35.3805727166454
10411,41003.7905364928,23.9391304933502,243.114586808813,30.3889269987421
10412,38582.5041242535,24.1442519934433,243.544351684342,30.7455317385557
10413,38908.277296105,25.960913061007,243.313055297379,32.6789789114331
10414,16207.5134684901,33.7319437232323,239.007393170326,37.2347392965829
10701,56253.5087028431,25.8234362332844,242.001261740074,30.3661456643831
10702,68611.8843097508,21.8840688435125,242.398836071183,28.3632718975538
10703,58664.4107537195,25.4155571611448,245.559229478417,31.3396074615854
10704,39332.0702262725,26.5778537346667,239.063577604975,29.8400744864752
10705,65111.6308819992,24.2336292435629,244.508481520714,30.1917001153001
10706,53379.8572060719,24.3792351285076,240.156835960776,29.0703541022135
10707,33692.6824126284,23.1582137179528,237.411726770302,27.1541055717433
10708,14046.1741860131,39.978267262569,241.630614668437,47.9657437319914
10709,28033.9518600895,27.0880068649596,237.483603293614,29.6277913657782
10801,43224.4800661974,20.7206215372794,240.447423658972,24.6746005603946
10802,24391.5121458489,23.355725521149,234.932160212552,26.1037425182902
10803,56826.9550762007,19.2792975092736,241.221361397944,25.289760531789
11001,29366.2138533002,23.3736362693805,240.273989874187,28.513986825316
11002,25312.1748121468,34.8348053855731,241.493640482264,31.2924369359892
11003,27425.735796629,23.2155639702738,235.572749543678,25.0673112585589
11101,5251.27756246,36.7114490660891,233.506188263217,33.6901421931747
11201,32441.7689237702,23.2882929584293,235.97281398202,30.0949536781445
11202,64134.8564748183,20.2600587942935,240.115343056539,29.3175017976641
11203,34038.7920466296,22.1053282423576,242.098800887982,26.8921536609019
11204,38553.9426477774,25.5980881360196,245.826699425177,32.2625355672688
11205,52129.2825226174,22.928954287568,246.200613374411,30.2461472594787
11206,51253.7243928244,20.6202146425955,244.198847734658,27.0574657962586
11207,46081.4641850067,19.5121826560004,241.581558189441,25.0414905345441
11208,39360.8669779326,22.3186251312381,243.150512646328,28.4361145886973
11209,70023.2894380473,19.5045632146225,240.539679377163,27.412100802497
11210,57547.8332118557,22.0330324363672,244.778920493303,29.6564557226517
11301,20305.9667709823,28.6421414728118,236.383959032739,31.2575856494907
11302,26514.736595693,22.4338619388579,236.401469691354,24.8941739130062
11303,9097.2389816033,33.0700667212446,233.347289485023,37.9826511204115
11304,28515.9833848077,23.0818909830618,236.482391704333,26.2496392988407
