ECO_ID,Realm,Richness,TaxMPD_Obs,TaxMNTD_Obs,TaxDis_Obs,TaxPos_Obs,TaxMPD_Null_Mean,TaxMNTD_Null_Mean,TaxDis_Null_Mean,TaxPos_Null_Mean,TaxMPD_Null_SD,TaxMNTD_Null_SD,TaxDis_Null_SD,TaxPos_Null_SD,TaxMPD_SES,TaxMNTD_SES,TaxDis_SES,TaxPos_SES
10101,AA,140,0.373447329093247,0.0398081534772182,1.65336534047494,0.514467107683022,0.387791995153186,0.0481570692882612,1.68679921753552,0.218747933454373,0.00808167864318249,0.00544610317061557,0.0188045476252342,0.0401258087308251,-1.77496120463042,-1.53300728052481,-1.77796763457975,7.36979972696411
10102,AA,17,0.347777777777778,0.125,1.54621026939782,0.688528563716553,0.387349282678106,0.145141688213747,1.63361884735447,0.455303325110414,0.0264623589926246,0.0290567007266042,0.0603187475797266,0.095924197394872,-1.49538840854504,-0.693185658043598,-1.44911128735088,2.43134938774694
10103,AA,48,0.367930928152945,0.0553191489361702,1.62953052602139,0.674008997424306,0.388741460893082,0.087188568786613,1.67517751863018,0.296132854541236,0.0138430272512869,0.0131632445959511,0.0321705476816715,0.0630524847723381,-1.50332238479141,-2.42109151874648,-1.41890629467876,5.99304126153723
10104,AA,27,0.404888888888889,0.109333333333333,1.69836940338818,0.565211522799595,0.388454046044754,0.117676882091099,1.65816203303631,0.371691050997137,0.0191697851277538,0.0206454380244137,0.0444170719291849,0.08142037777184,0.857330571762165,-0.404135225801407,0.905223343312131,2.37680636099173
10105,AA,3073,0.393187030145331,0.00466086956521739,1.70782200962966,0.280515866266518,0.387931244186668,0.00630662010703407,1.69393169494024,0.167762797466347,0.00163337614779561,0.000367001784964486,0.00381204636788758,0.00955314724620546,3.21774379144462,-4.48431209122302,3.64379478865432,11.8027144242916
10106,AA,655,0.362258226948254,0.0145473574045003,1.6291641433348,0.625068595292321,0.387985803617424,0.0182801609912265,1.69286822025632,0.178258837861354,0.00358127796221962,0.00146195322409528,0.00830568127331151,0.0202821381068746,-7.18390947046875,-2.55329891901043,-7.66993998749084,22.0297167427098
10107,AA,564,0.391099499365084,0.0162849872773537,1.69829990981881,0.423682831358259,0.387964413172116,0.0201233262224514,1.69257881854238,0.179776442338741,0.00389878417577603,0.00166001742259786,0.00905214554244536,0.0217351986983443,0.804118938526298,-2.31222810848023,0.632014946025775,11.2217234544121
10108,AA,27,0.32,0.0717948717948718,1.4907303352891,0.827634384785856,0.388754519895168,0.118169613035184,1.65908222156985,0.368453685162532,0.0196458967545281,0.0207293960102369,0.0448372325744494,0.0781824439548332,-3.49968854841514,-2.23714869537976,-3.75473410410002,5.87319449732982
10109,AA,229,0.414984126984127,0.0453333333333333,1.75384809947593,0.30633346622056,0.388220825404262,0.0355464368176767,1.69055697006637,0.197989950399924,0.00625228636067665,0.00363019145249375,0.0145902852165572,0.0337537248035796,4.28056234727051,2.69597255233842,4.33789528238553,3.20982399575488
10110,AA,131,0.369702842377261,0.0304909560723514,1.64538138146509,0.581178689292357,0.388320403256417,0.0499060320640034,1.68753630779069,0.220426930064181,0.00831270993045212,0.00574465172775544,0.0193015717485206,0.0414384797947775,-2.23965001003514,-3.37967850998653,-2.18401521258641,8.7057189601256
