"Trait","State1_Label","State2_Label","bin_id","bin_start_age","bin_end_age","n_sims","prop_State1_mean","prop_State1_sd","prop_State2_mean","prop_State2_sd","rate_1to2_mean","rate_1to2_sd","rate_2to1_mean","rate_2to1_sd"
"GF","GF_W","GF_H",1,0,1,1000,0.566521977093768,0.000229086228514059,0.433478022906315,0.000229086228513879,0.0169574781155902,0.000460933575626354,0.0203465336963693,0.000591054432988585
"GF","GF_W","GF_H",2,1,2,1000,0.555528814757706,0.000407808072984487,0.444471185242293,0.000407808072984448,0.00917202561097318,0.000534553288444678,0.00940567166011357,0.000606977043350858
"GF","GF_W","GF_H",3,2,3,1000,0.549752739172792,0.000530784707428658,0.45024726082721,0.000530784707428665,0.00791017000026204,0.000583905163514665,0.00709127064715303,0.000617450472824345
"GF","GF_W","GF_H",4,3,4,1000,0.54247376666063,0.000656593096737242,0.457526233339365,0.000656593096737256,0.00645892025231029,0.000591000937625031,0.00620514229611055,0.000657354240819035
"GF","GF_W","GF_H",5,4,5,1000,0.532857743131393,0.000758793875565226,0.467142256868607,0.000758793875565206,0.0056711140153285,0.000646191085194906,0.00557931813547351,0.000671958564086102
"GF","GF_W","GF_H",6,5,6,1000,0.523292969108679,0.000872445277040721,0.476707030891325,0.000872445277040824,0.00515712701900317,0.000644683469618569,0.00514085683864508,0.000698108751303118
"GF","GF_W","GF_H",7,6,7,1000,0.516133749733005,0.000989335223346379,0.483866250266996,0.000989335223346377,0.0052825933551027,0.000711899120994308,0.00457545673559908,0.000701098203789613
"GF","GF_W","GF_H",8,7,8,1000,0.509460865272675,0.00114027904409695,0.490539134727324,0.00114027904409694,0.00489623206123995,0.00074857331119773,0.00444292379244803,0.000726527169774998
"GF","GF_W","GF_H",9,8,9,1000,0.499147370155963,0.00128660939688439,0.500852629844037,0.00128660939688441,0.00448874191924718,0.000779111442826899,0.00408075754374594,0.000803389356993781
"GF","GF_W","GF_H",10,9,10,1000,0.488743238222459,0.00147174188180095,0.511256761777541,0.00147174188180099,0.00444864310572323,0.000826289027217737,0.00416348531411316,0.000819930917479253
"GF","GF_W","GF_H",11,10,11,1000,0.480999577445042,0.00164365759938224,0.519000422554959,0.00164365759938225,0.00448758400933674,0.000878842587053638,0.00407314948683332,0.000827978601681048
"GF","GF_W","GF_H",12,11,12,1000,0.474063225151187,0.00176380768048465,0.525936774848811,0.00176380768048466,0.00422873680038758,0.000988309421359878,0.004182384827659,0.000906534992782687
"GF","GF_W","GF_H",13,12,13,1000,0.466752926998333,0.00189236385718069,0.533247073001667,0.00189236385718068,0.00405337198624657,0.000979888309292057,0.00404744662434836,0.000924873888145764
"GF","GF_W","GF_H",14,13,14,1000,0.459423215321184,0.00204945736511828,0.540576784678815,0.00204945736511828,0.00383432250111389,0.0010344547508665,0.00406981975729687,0.000984209121590653
"GF","GF_W","GF_H",15,14,15,1000,0.454441229849822,0.00220774260959755,0.545558770150177,0.00220774260959755,0.00385541510414707,0.00104224136752377,0.00399337499164308,0.000978913322690103
"GF","GF_W","GF_H",16,15,16,1000,0.448927968164649,0.00237106930601266,0.551072031835351,0.00237106930601263,0.00414081407594988,0.00115056365130474,0.00401405341449423,0.000996504962618376
"GF","GF_W","GF_H",17,16,17,1000,0.443596175426316,0.002484286073441,0.556403824573683,0.002484286073441,0.00385596128568892,0.00118636601079673,0.00408443184204993,0.00104530299721238
"GF","GF_W","GF_H",18,17,18,1000,0.438800710369884,0.00263768747764214,0.561199289630118,0.00263768747764214,0.00395410613614211,0.0012453458197804,0.00372204753829009,0.00106703153583116
"GF","GF_W","GF_H",19,18,19,1000,0.435315682248493,0.00280230234766976,0.564684317751507,0.00280230234766975,0.00386383701309758,0.00127866051626674,0.00358736126645943,0.00111505808428563
"GF","GF_W","GF_H",20,19,20,1000,0.431984093544423,0.00295197519885235,0.568015906455577,0.00295197519885236,0.00381051983411828,0.00132987248807428,0.00360009797368136,0.00115775754427143
"GF","GF_W","GF_H",21,20,21,1000,0.432772268992159,0.00310293339988336,0.567227731007842,0.00310293339988335,0.00366474252338029,0.00133391742497343,0.00375350619153488,0.00119162742968511
"GF","GF_W","GF_H",22,21,22,1000,0.433934998411844,0.00332087631385696,0.566065001588157,0.00332087631385696,0.00354306409496446,0.00136085474525171,0.00409213533545157,0.00127831374993658
"GF","GF_W","GF_H",23,22,23,1000,0.432319684657797,0.003453748131634,0.567680315342203,0.00345374813163401,0.00374578187319906,0.00148314223369139,0.00381772955477407,0.00128797760658918
"GF","GF_W","GF_H",24,23,24,1000,0.432731203446735,0.00362064057321844,0.567268796553265,0.00362064057321838,0.00402836726938209,0.00155733019350214,0.00374227229068112,0.00129753408038287
"GF","GF_W","GF_H",25,24,25,1000,0.433091161616918,0.00377428747488485,0.566908838383082,0.00377428747488485,0.0041852318708286,0.00163611679001582,0.0037660397155537,0.00137284768208151
"GF","GF_W","GF_H",26,25,26,1000,0.43800582728778,0.00399481181273141,0.56199417271222,0.0039948118127314,0.00400393391301824,0.0016411256317549,0.00384006951891711,0.00143957114026661
"GF","GF_W","GF_H",27,26,27,1000,0.44361767250549,0.00429937900462952,0.55638232749451,0.00429937900462953,0.00404782490548081,0.00172544445125171,0.00396167306670236,0.00151638716706871
"GF","GF_W","GF_H",28,27,28,1000,0.447858402922891,0.00456429468252887,0.552141597077109,0.00456429468252886,0.00400330053056532,0.00172219726307946,0.00391268992059156,0.00155650210703877
"GF","GF_W","GF_H",29,28,29,1000,0.451682432120359,0.00473661322853109,0.548317567879641,0.00473661322853109,0.00365507272655418,0.00169248050332911,0.0041776517955896,0.00164495848899744
"GF","GF_W","GF_H",30,29,30,1000,0.457780045320004,0.00494114731359578,0.542219954679996,0.00494114731359583,0.00369221722892774,0.00170735851186502,0.00416028502623997,0.00168857608924374
"GF","GF_W","GF_H",31,30,31,1000,0.46308637914569,0.00500629977646602,0.536913620854309,0.00500629977646603,0.00403171567766059,0.00192161696816889,0.00397352502845793,0.00174327472780724
"GF","GF_W","GF_H",32,31,32,1000,0.462385150697087,0.00519899779258678,0.537614849302914,0.00519899779258678,0.00397406183564026,0.00189636770504108,0.00432934529554049,0.0019245842724072
"GF","GF_W","GF_H",33,32,33,1000,0.46378950506017,0.00529685381245442,0.53621049493983,0.00529685381245442,0.00404147202211285,0.00187773891686126,0.00436575348407581,0.00184874416874754
"GF","GF_W","GF_H",34,33,34,1000,0.464327961859622,0.00547899701568947,0.535672038140378,0.00547899701568948,0.00413683474052692,0.00205872220458236,0.00472427274166916,0.00203404382897521
"GF","GF_W","GF_H",35,34,35,1000,0.463025097939848,0.00567236047565964,0.536974902060151,0.0056723604756596,0.00385878349841118,0.00207459714307162,0.00481387733192562,0.0020488525266092
"GF","GF_W","GF_H",36,35,36,1000,0.463248744430897,0.0059280158032439,0.536751255569103,0.00592801580324388,0.00377394935935003,0.00202485150754506,0.00460664207685322,0.00208860704933791
"GF","GF_W","GF_H",37,36,37,1000,0.469825349083546,0.00614965471384377,0.530174650916454,0.00614965471384378,0.00375827962465341,0.00212053335223432,0.0046915000656365,0.00225733369179329
"GF","GF_W","GF_H",38,37,38,1000,0.47659626636433,0.0065395852757962,0.52340373363567,0.00653958527579619,0.00364325228871596,0.00211537930335847,0.00502309756291263,0.00237096376206979
"GF","GF_W","GF_H",39,38,39,1000,0.479376038796454,0.00674205088223806,0.520623961203545,0.0067420508822381,0.00354202879067103,0.00215867513948548,0.00501736809050915,0.00241056493233393
"GF","GF_W","GF_H",40,39,40,1000,0.483957326588864,0.0069432484960568,0.516042673411136,0.00694324849605679,0.00364430879850152,0.00216454420472461,0.00497637128613813,0.00250740216827093
"GF","GF_W","GF_H",41,40,41,1000,0.489872815834747,0.00704947529038026,0.510127184165254,0.00704947529038027,0.0036789704106003,0.00223818785046669,0.00451592480440777,0.00253078820302472
"GF","GF_W","GF_H",42,41,42,1000,0.496260626698895,0.00736051350400594,0.503739373301105,0.00736051350400593,0.0036205008744847,0.00225782955870693,0.00454475276078331,0.00245360988604992
"GF","GF_W","GF_H",43,42,43,1000,0.500933250055742,0.00763202085640256,0.499066749944258,0.00763202085640255,0.0037575369245267,0.00242114293732562,0.00455563673165267,0.00265624196354991
"GF","GF_W","GF_H",44,43,44,1000,0.505424768964068,0.00789543909331354,0.494575231035932,0.00789543909331353,0.00376878144324884,0.00240300569591924,0.00449134352746723,0.00272708056526259
"GF","GF_W","GF_H",45,44,45,1000,0.506773110632235,0.00824103371793391,0.493226889367765,0.00824103371793393,0.00384004909189057,0.00245204111176473,0.00478610552643349,0.0028753871819302
"GF","GF_W","GF_H",46,45,46,1000,0.507977502992125,0.00839703116361985,0.492022497007875,0.00839703116361988,0.00368429032132925,0.00246524476004539,0.00490672898685229,0.00303002033954038
"GF","GF_W","GF_H",47,46,47,1000,0.507905291965226,0.00814750024239707,0.492094708034774,0.00814750024239702,0.00350051111004822,0.00256944873836975,0.00465673667521265,0.00284875461361961
"GF","GF_W","GF_H",48,47,48,1000,0.509696205911833,0.00837313946071976,0.490303794088166,0.00837313946071976,0.00331359996170535,0.00243466527885428,0.00476489107255931,0.00306618003914137
"GF","GF_W","GF_H",49,48,49,1000,0.508202105545674,0.00867846501353461,0.491797894454326,0.0086784650135346,0.00334890362797943,0.00261294845232531,0.0047859451286545,0.00313193331980388
"GF","GF_W","GF_H",50,49,50,1000,0.50140403938499,0.0089858028263252,0.498595960615009,0.00898580282632521,0.00314778226927566,0.00270963009147924,0.00489751335752566,0.00330969629022182
"GF","GF_W","GF_H",51,50,51,1000,0.504700749304539,0.00929216404072279,0.495299250695461,0.00929216404072277,0.00324087748469092,0.00269720407311751,0.00488692837336099,0.0034682334441612
"GF","GF_W","GF_H",52,51,52,1000,0.508095612791006,0.00976239407694015,0.491904387208994,0.00976239407694018,0.00309608087180504,0.0026835136874585,0.00479692897364426,0.00346780364840944
"GF","GF_W","GF_H",53,52,53,1000,0.512382894061712,0.0101367116292904,0.487617105938288,0.0101367116292904,0.00324506776288888,0.00277019330413402,0.00495275698924427,0.0033240419220995
"GF","GF_W","GF_H",54,53,54,1000,0.509425691952584,0.0105671698920032,0.490574308047416,0.0105671698920032,0.00326454970173011,0.00287873091652104,0.00506190503190356,0.00355974304467794
"GF","GF_W","GF_H",55,54,55,1000,0.50491630085605,0.0108396806180712,0.49508369914395,0.0108396806180712,0.00326554006158697,0.00297976251231419,0.0053665903687057,0.00390459481854836
"GF","GF_W","GF_H",56,55,56,1000,0.506281167395642,0.0110022369258026,0.493718832604359,0.0110022369258027,0.00325197981345565,0.00295603248545689,0.005078086707839,0.00389140476744264
"GF","GF_W","GF_H",57,56,57,1000,0.506741066514776,0.0111340577081629,0.493258933485224,0.0111340577081629,0.00318363324459277,0.00296974206147821,0.00588470571076097,0.0039825063115748
"GF","GF_W","GF_H",58,57,58,1000,0.510686667078601,0.0115229924567357,0.489313332921399,0.0115229924567357,0.00328083501633785,0.00310837218762484,0.00597415456982922,0.00420047447373008
