GlobalID,ECO_ID
G262504,11208
G251742,60180
G105325,60902
G045259,61003
G003729,30124
G313608,10703
G165055,60201
G067333,31009
G160402,50527
G154514,50303
G263004,11308
G156033,30108
G177311,50414
G016741,80416
G151492,81212
G242593,50414
G279293,60109
G008998,81222
G159888,81215
G035909,80101
G052092,40167
G162180,80413
G216501,50303
G200928,60140
G319917,10409
G160078,10413
G301621,60212
G272396,10802
G114968,51307
G151488,81310
G053422,80406
G185697,80810
G011533,31401
G013320,51305
G039178,81222
G269122,80440
G085883,50417
G210771,60305
G266215,50808
G009142,50522
G162165,80402
G155480,11304
G287317,81207
G303270,60173
G104283,40202
G312538,60118
G124153,41001
G269591,50815
G120286,31004
G135183,40102
G071661,30725
G085208,80514
G115988,80432
G013897,40202
G115505,50701
G331333,60137
G043046,80519
G000199,30715
G286601,80423
G052183,11207
G034624,40146
G239527,60145
G200847,60167
G020418,10406
G112474,80510
G193360,40206
G103105,60132
G172008,11208
G108504,40119
G328760,60120
G106224,50802
G017448,81215
G292281,40124
G201117,61403
G004823,40202
G097532,80610
G273243,11205
G140308,81210
G239113,50402
G084663,61304
G205096,31203
G286662,80402
G015902,40102
G189161,60140
G031044,50403
G033700,80445
G078281,60182
G144355,60160
G303852,60115
G215722,50416
G212854,40118
G303288,60167
G105941,60104
G222655,80514
G009454,11210
G330252,60230
G192885,10704
G172418,80431
G272591,50517
G144242,40108
G204461,10705
G324121,11309
G296811,60166
G179607,30710
G110684,30704
G026573,40201
G268984,10802
G184322,60709
G213542,81002
G050289,60215
G159516,80518
G324424,30127
G179784,81222
G162693,30116
G157541,51201
G061418,60136
G216397,50405
G205175,80516
G249872,60160
G335350,60178
G067547,80412
G311870,40149
G093653,60404
G231097,30725
G322008,70101
G023892,30707
G325329,80415
G212402,40102
G306669,60110
G132798,60310
G130834,60222
G251313,60153
G268413,60155
G147612,81217
G189681,60167
G112905,50605
G262113,80435
G260715,40163
G277542,80501
G303907,60140
G221299,81003
G327355,81201
G146283,40149
G179268,50605
G069612,80509
G009742,60210
G210120,11210
G021111,30713
G023640,60132
G119077,61304
G039927,80102
G155874,10803
G330814,60310
G083274,80406
G145713,40130
G272835,80101
G283697,80901
G294217,80421
G093814,61006
G077321,80605
G124525,80608
G252246,40102
G161876,60166
G008930,81212
G066233,61008
G202867,40136
G298508,40161
G047921,61201
G172554,60206
G237755,60136
G125005,50512
G318558,80510
G058287,80435
G149400,80101
G058342,60221
G084693,80815
G143690,50524
G013289,81218
G041461,60176
G168612,50609
G295910,40146
G330248,60207
G121165,31309
G229070,60136
G265398,80514
G267879,10115
G206869,10402
G044462,40118
G097276,60205
G046751,60212
G278032,50804
G014819,60211
G268938,60308
G270045,60125
G074281,60303
G266936,11301
G133046,60217
G329467,60153
G127495,51108
G277230,60105
G269504,40171
G268562,11206
G050820,11208
G292281,50413
G220229,30111
G168190,60130
G118307,30125
G047874,51307
G140264,50806
G197202,61401
G053535,31004
G175914,31006
G200514,60166
G257332,60145
G059274,50402
G277859,61305
G260691,51303
G327316,80419
G315857,60142
G268703,40134
G182174,40102
G263972,80403
G034921,70106
G208310,60140
G277208,51305
G269673,60176
G116072,60235
G268316,50806
G142925,60212
G103769,60136
G105329,61304
G113647,80601
G123046,60121
G317459,60156
G211268,60162
G163645,60115
G173809,60710
G062890,50413
G015317,30126
G248121,31015
G241497,60205
G031845,40202
G251934,60124
G307097,30116
G149129,61003
G202840,40102
G168678,80421
G251369,40154
G331993,81215
G068572,80907
G294913,80901
G152257,60202
G286363,11003
G185533,81216
G331375,60135
G028940,80412
G158105,50501
G006077,31203
G199754,60154
G005651,40102
G264421,30107
G262113,50505
G005718,80509
G247125,80408
G308203,60235
G107901,40167
G149058,60141
G124988,10405
G139085,50503
G040805,50302
G008578,50701
G145160,60166
G108952,31004
G112143,50404
G292945,80426
G117820,31015
G174607,60704
G078540,81207
G323826,60118
G317417,60129
G028062,60167
G167079,50407
G057100,50511
G329843,30704
G077250,80440
G205540,30719
G205376,61304
G121069,61403
G064155,31311
G232016,60310
G170208,31009
G082397,50612
G222564,60703
G097484,81210
G064615,11307
G085625,50408
G066543,11206
G167730,60224
G152702,60228
G171713,30115
G097654,80439
G241399,60161
G242608,50403
G325641,81212
G190040,61316
G114726,30124
G277208,11205
G329826,30128
G194962,11301
G066914,81214
G260588,81324
G102450,60233
G277469,50517
G012480,30716
G290195,81222
G326916,31203
G149567,51106
G004059,50529
G201642,60109
G330952,80421
G014673,10105
G260156,50813
G157657,10402
G109111,31322
G066051,50518
G171434,60150
G193551,80412
G130466,60160
G021023,40166
G099320,50805
G254728,50405
G291954,80814
G085959,81317
G034246,10128
G321731,60177
G144442,40102
G170697,50804
G143295,60217
G160880,10404
G308711,80428
G173745,51310
G229757,30101
G268236,50303
G211248,61003
G116290,60160
G250511,80510
G124871,50417
G181924,40146
G298130,10126
G277733,60105
G190976,51310
