ECO_ID,AMT,MDTR,TS,AP,PS,AI,PET,SRAD,Wind,AMTd,APd,Elev,Slope,Sand,SOC,PH
60404,8.207105791,7.007350176,373.998025,1755.009802,55.53995778,1.679846782,1029.21829,12770.69532,4.390353201,5.475250787,127.0504869,817.9116681,7.786571087,41.31082813,4.883946434,5.785329552
60702,25.57911126,6.328494641,118.0230454,1775.896781,60.75139508,1.123026814,1532.260647,14356.74176,2.413919643,1.957538864,121.6576922,159.2638435,0.112795606,44.47964681,1.635525883,4.921982265
60703,19.6632001,7.855564057,179.7655016,1364.118076,76.19106935,1.025592081,1365.995439,15285.72235,1.735226562,4.773439162,-144.9613576,1113.649698,3.489838541,45.83972573,2.243705844,5.037163631
60704,24.43949765,7.579042799,134.8975265,1456.250937,76.05450728,0.928548784,1568.163617,16063.2749,1.623654751,3.992838945,-0.773644259,512.6535482,1.109820788,47.77570603,1.517179518,5.155148821
60707,25.38193034,5.887609586,91.41948968,1772.549125,68.57094768,1.20503912,1573.136125,16753.62824,1.405299008,4.180317673,104.6737122,323.5659356,1.062049811,53.83228272,1.441039085,4.765022701
60708,22.066992,8.634645223,397.3588725,1284.694569,41.33197139,0.678677713,1754.829874,16923.25931,2.889641618,2.469811155,-24.0648704,81.86054929,0.127519937,41.6720519,1.932498762,6.353971604
60709,26.17719675,5.574059905,93.2043471,1986.349638,70.42983643,1.173038071,1725.982024,16895.08981,1.94881829,2.58057475,297.102205,124.18261,0.307084364,49.78287154,1.423298073,5.528712492
60710,18.22580868,8.037449483,426.846608,1364.520344,14.71447658,0.944909556,1489.837167,15799.32369,3.097841362,3.165854909,91.9712246,144.1100205,0.654755435,36.82253992,2.092903203,5.834436873
60801,16.95412455,9.013461083,524.3190815,771.4481978,47.83614894,0.426417281,1757.615541,16665.61832,3.456067724,2.539657913,152.5302343,197.2783238,0.265612873,46.32724279,1.499910268,6.814546879
60802,15.04360858,10.03084001,592.4692432,278.4683927,36.25359691,0.141401906,1893.233658,16263.44479,3.522317,3.87987872,103.9422573,426.3869422,0.605823027,53.20603198,0.722237846,7.86247223
60803,15.78913066,8.523953165,501.6314021,901.5823494,37.92586326,0.592336896,1544.606762,16342.53699,3.471415555,2.191218076,224.3507081,101.9909574,0.150402109,32.87255007,1.739520169,6.344811052
60805,8.641113433,7.879341773,478.3040604,267.8425344,32.72129093,0.211265779,1507.394283,12756.69183,6.192482064,5.931743938,99.75473118,643.520626,1.994541724,51.68685601,2.45189532,6.894291946
60902,25.55128061,4.881494512,187.3990431,1328.997045,62.58654658,0.687727785,1840.385908,19552.13868,2.82970206,2.796054421,409.8668115,6.933493363,0.09027339,34.27818386,1.556480143,6.034312635
60903,26.72864516,6.030709677,133.0205161,807.7909677,57.29677419,0.377694602,1939.534794,18619.09581,1.901299405,3.391884236,411.2768289,9.378865979,1.541030994,24.92287918,1.582079769,6.772493412
60904,23.70935664,5.93159977,316.8550221,1387.843595,56.51826388,0.734352827,1831.948575,17677.36989,3.479623985,4.27799478,128.3361445,6.650052081,0.038889788,27.24031961,13.9238771,3.99038882
60905,25.47077013,6.672782964,60.26496499,1334.164527,107.9909568,1.148118763,1194.299971,12197.46757,1.59829296,1.729976431,240.3492371,13.68077035,0.265805794,39.02655384,1.551912127,6.219521526
60906,25.94299831,5.00893563,61.97683512,1459.590062,48.01030491,0.819661914,1831.971062,18239.94008,2.748137813,1.918760587,255.1154715,8.404009034,0.105540591,36.49054207,1.828386997,5.853783256
60907,25.8260749,7.654124046,182.1651026,1187.997891,64.99308683,0.779937659,1662.495003,15486.78474,2.063720122,2.258721549,19.67023205,132.8672742,0.215400126,57.30512631,1.080313149,5.536609293
60908,19.00946219,8.900063319,469.1662393,1125.819284,37.16075033,0.650483241,1626.437971,16839.96271,3.183587446,2.600093185,109.394187,21.68220767,0.07466496,30.99012644,1.646558995,6.70327877
60909,20.71383801,8.52452529,422.7532039,1590.40587,22.63902425,0.960321215,1624.617714,16303.49504,3.053174747,2.902496591,35.67084873,83.68014902,0.273793285,30.87350494,3.663458765,6.186062078
61001,4.756200371,13.21952763,284.6055769,153.9348516,129.8884993,0.101836234,1773.813933,19545.26374,3.837043647,4.266959146,3.016305553,4003.844605,3.469870128,56.95329315,1.120990943,7.285030625
61002,5.262069122,11.16129057,270.1853684,441.4382652,106.9725447,0.259164584,1705.058446,18477.15273,3.398615589,5.056471932,19.21180527,3952.873249,5.287521665,57.55420412,1.133171237,6.672862422
61003,5.4659589,7.961961261,114.4209286,929.3582225,77.68911604,0.690973009,1250.709249,15861.83795,2.770625304,8.542575468,9.853339586,4248.066469,6.103954104,52.80535738,1.217330354,6.025695107
61004,8.533188842,7.922023352,39.98420611,1286.939313,56.46486751,0.939798945,1134.273064,14118.73725,3.524552116,7.935467287,-137.7891602,3633.440243,6.970707555,54.9164104,1.616852634,5.639271789
61005,7.239415839,6.230322192,31.92631737,1388.025595,43.85335742,0.818813562,1171.624171,16948.96958,1.724575534,6.087969184,94.28358144,3535.351718,11.8377398,48.97046414,2.015767809,6.088667839
61006,7.695198581,6.60496738,31.68987353,1450.543465,37.23054252,1.219299019,974.0336976,14704.66882,2.523289617,7.838759425,-62.86356672,3645.293896,7.649903882,52.06181704,3.905566845,5.141000767
61007,5.219359237,5.438786639,30.1271302,1522.369461,62.69802318,1.551658828,1202.573279,18635.5777,2.837678934,4.584798909,315.5780504,3792.98773,14.037641,39.76414451,0.694181252,3.516019087
61008,1.72093817,10.96816375,508.3089512,202.3647277,84.04615857,0.179865216,1525.565476,18920.36722,5.474399381,5.107868428,-3.1370408,3471.363117,9.033595088,47.10384227,3.806218929,5.846224707
61010,12.90404615,10.2351059,471.3099986,216.4592716,95.32596909,0.105910443,1970.963194,18848.29629,3.289851883,1.94145803,22.66668935,1825.774018,4.890839806,51.5160423,2.509060821,6.834747507
61201,14.35475947,9.738085083,406.1903969,401.9670965,111.0032258,0.326817893,1577.167273,18158.54989,3.012080068,0.84769047,7.107043467,666.8287995,3.568557624,46.90315683,1.791084655,6.671240706
61301,25.67570168,3.513215718,63.61157979,1013.394547,52.42886929,0.546917634,1964.637835,19292.05077,3.845128898,3.015845569,85.80861566,182.5945062,3.366540022,35.80870266,2.07633818,5.776035406
61303,15.604812,11.82363964,236.2282645,12.55467842,178.2563085,0.005246263,2160.63999,21377.70208,3.749377116,1.52321405,-4.449193074,1647.416682,3.037867787,57.11234208,0.580733531,7.965691373
61304,25.91349031,8.00722437,119.7494044,744.6589557,83.72824163,0.429656185,1734.349393,17663.09503,1.754311429,5.104200631,-49.35394786,414.1163225,1.166752223,59.01014324,1.067399301,5.924221273
61305,26.616253,1.032239125,94.41395783,1380.739792,43.0349613,0.587225952,2022.915394,19927.98883,4.846472293,5.271367547,178.4337183,75.40834313,1.865467884,50.20245566,0.854141352,6.128813175
61306,25.73559489,3.349729597,150.5889626,1114.493854,54.49926254,0.62999073,1864.254639,19754.7109,3.500326451,3.532910158,356.2674998,94.15979381,2.345136461,34.78239244,1.650963441,6.472345174
61307,21.96393478,0.609343489,164.0736215,819.7015662,59.17110062,0.210051447,1485.815225,16097.69383,4.18235761,2.908695048,41.5146092,263.7757941,3.746188575,53.61109916,1.724672302,6.130318285
61308,26.99012537,4.272662043,63.33924246,869.7326487,77.12376634,0.445750811,2118.496077,18840.07784,3.804237554,3.161984422,177.3725921,96.07889132,1.088508419,45.31431854,1.15695855,6.641210873
61309,25.97972706,6.152055726,68.55702631,1058.058952,70.96708119,0.606282684,1837.635871,18005.1027,2.57327392,3.057383686,77.67691198,282.0885147,1.901807855,37.22737331,1.826238972,5.632027831
61312,22.56511545,6.72660746,135.6234103,1245.307282,80.19857904,0.723176306,1848.053286,19424.64382,1.750840727,2.595950266,302.19254,648.6191829,6.91900182,49.18046181,1.1826419,6.140284287
61313,26.08951898,5.53892497,73.19845293,542.4114262,61.97048419,0.364285618,1997.429735,18896.85878,3.787535728,4.308805187,-64.47511626,349.4986601,1.919213126,50.3772977,1.505305724,6.78141235
61314,23.96390163,4.413463943,330.0281367,287.8049187,128.2701125,0.132139699,2050.717438,18851.85936,3.109777513,2.33551033,4.194180461,163.2879706,1.899381911,57.06540084,0.508548737,7.49198307
61315,15.6343,7.356664572,104.1774433,172.8283508,121.1198832,0.130672935,1602.300016,17779.22801,3.133883221,2.512655918,-4.306188347,1850.319137,7.23849367,65.70989031,0.559911974,6.493001104
61316,16.00012331,9.059281486,182.7861476,686.3591746,79.38202894,0.331874692,1635.145734,17205.71219,1.98725614,10.11980111,54.49734657,2139.843087,2.63236665,45.10685517,1.647975589,6.005219592
61401,26.72315358,3.673891712,55.59015463,2010.565687,61.65459085,1.018294074,1739.364284,17911.55836,2.537111526,3.433012152,-18.97171236,13.99743826,0.231514123,39.35717537,2.824844974,5.874298358
61402,25.88418486,2.750223694,180.55625,1242.055968,53.13063708,0.575986653,1897.481553,19314.86557,3.514702026,3.513509698,377.1076674,15.26844708,0.478546009,39.42790378,1.079544822,6.844939323
61403,26.11732395,4.325993778,155.9682997,1774.02869,59.38984382,0.916681612,1767.227459,18251.97195,3.252239771,4.121889945,533.7339104,7.284113847,0.155563718,35.24191441,2.111305501,6.307043385
61404,25.1003199,6.107507748,309.236579,678.4409677,108.1282615,0.26785381,1987.124985,18373.91022,2.813067714,2.525360664,95.86237367,4.645321949,0.138429471,33.05184594,0.886207504,7.546661435
61405,25.41532594,3.61701173,46.36604705,3331.816935,58.92474841,1.933687994,1405.261057,15085.37139,1.980042767,2.189908051,1237.119027,27.59173795,0.591146602,50.55903832,1.556596159,5.560285657
61406,24.72166047,4.273135068,163.1825361,1715.752747,46.83758777,1.089258192,1475.3403,16178.5643,2.434726675,3.422050366,-35.74672522,26.60246293,0.883198685,57.73302011,1.035838682,4.455481326
61407,27.5801516,4.787731456,68.45928533,2064.606064,86.91218192,0.841111354,2034.278832,19698.31444,2.861421405,3.443397548,769.5274194,17.79193709,0.46172562,42.43173639,1.862148532,6.235065258
70101,26.88712121,1.499090909,10.32333333,4966.083333,15.52424242,2.405732687,1722.365289,18815.8165,3.502327819,2.977076235,1693.524113,137.2661157,4.954437071,42.73170732,3.415190711,6.33521357
70103,24.25684647,1,139.2751037,2220,34.88381743,0.852165283,1486.595238,15469.35667,4.303918637,3.013860048,-479.1493213,80.17261905,3.207710971,45,1.654000044,5.099999905
70104,27.69671772,1.288402626,16.83698031,2204.83151,27.03063457,0.431143457,1762.786047,19100.02051,4.525658916,3.313621639,68.11086928,6.213953488,0.126837268,43.37788018,1.26661987,6.581797157
70105,24.12578731,2.057010603,116.3310017,2702.63222,41.61797753,1.903063905,1430.533979,16227.53449,3.227084718,2.797843756,-213.3928583,240.6358796,3.909889603,42.45507995,1.487048089,6.279264313
70106,20.4889591,2.592035293,128.5011685,2367.197091,26.86324073,1.556358921,1519.485577,17682.75498,5.188310293,2.851842502,-238.5771067,673.021875,5.573468583,42.80004775,3.929541547,5.954184066
70107,18.6,1.2,226.2086957,1709.26087,15.15217391,0.898152273,1672.944444,15094.66433,4.361111098,2.056818182,-173.1254941,188.7222222,5.552350899,37,1.904999971,6.199999809
70108,24.90689942,0.9,43.24538653,1776.615129,24.45719036,0.848589342,1630.124754,16300.31057,5.089055352,3.136513856,-433.2798671,360.9341847,8.147644519,45.00508044,1.655277774,5.101354689
70109,23.37043478,1.268695652,330.7782609,1468.234783,28.07826087,0.4163928,1515.220339,16040.47317,5.211581917,4.226434783,-136.7012174,109.9491525,2.019159134,40,1.562000036,6.400000095
70110,27.36740331,1.399815838,19.75948435,3894.861878,21.41436464,1.915970534,1433.306452,16724.85806,2.798463897,2.96702808,618.9256683,59.68663594,1.346482674,40.04705882,3.986635335,6.789804111
70111,20.28803419,1.1,191.3226496,1394.401709,27.02136752,0.771310879,1382.96729,14998.29202,4.448559253,2.593891929,-1.025068841,142.5700935,3.478965021,52,1.899999976,5.699999809
70112,24.81488992,1.2,37.89325029,3574.726825,43.24507532,2.458468327,1364.819817,16167.3269,3.468644109,2.74561542,387.2714921,386.2698458,4.966577838,43.21638074,2.858273617,5.621859417
70113,24.42114604,1.1,83.6372211,2994.043103,37.8311359,1.226647159,1497.751609,15113.22846,4.692194212,3.378317864,-33.96804708,339.1689914,8.473235969,44.64238411,1.583443752,5.006622422
70114,24.53602103,1.007537248,139.4011394,2047.39702,33.75021911,1.178638302,1508.933468,16025.35465,4.138482838,2.822628964,-360.2734644,62.81854839,1.081736341,37.01480111,4.332085317,6.287974251
70115,25.94378307,1.044973545,97.17473545,1652.240741,32.4510582,0.247345789,1666.980456,16651.15289,4.953773046,3.083058289,-155.0521094,16.58957655,0.16639262,45,1.654000044,5.099999905
70116,22.16774194,1.136129032,181.1283871,2488.393548,20.39354839,0.953801639,1222.443609,14487.24684,4.598558867,2.607741935,-166.6286738,97.89473684,3.269077412,45,1.654000044,5.099999905
70117,27.75454545,1.184415584,13.92467532,1548,28.68831169,0.380694118,1826,18832.11954,3.892210136,3.309980237,-214.5543478,3.934782609,0.015544966,43.94936709,1.571506361,5.546835374
70201,24.38027962,2.374822173,110.1412926,2140.860559,57.61601668,1.543568046,1526.874281,16610.75018,3.362493007,2.767704367,8.6123987,191.2911074,3.320123449,41.31691395,1.502078092,6.368427319
70202,19.81615731,3.065688543,129.5802508,1194.336296,30.08827469,0.872860112,1703.768222,18201.49474,5.366236873,2.902780199,-466.6148166,817.7015803,5.287659485,43.07530414,3.389783811,5.96491479
70203,26.8409943,1.208964955,56.66185819,2430.470253,51.74327628,1.1784372,1672.170157,17409.47477,4.927799589,3.287564109,-582.4070678,125.0034904,2.43384784,48.62652563,1.232647707,6.188934164
70204,27.60096154,1.399038462,21.85769231,3258.528846,32.72115385,1.544442857,1635.305556,16892.2777,3.802006172,3.15054137,-15.0677925,31.46296296,1.135495888,40,4.006000042,6.800000191
70701,9.046234219,4.232738354,127.8377013,1431.796256,20.55071833,0.704540828,1329.894553,18463.74391,6.38521061,3.404055569,-514.1484063,2660.126797,7.103575042,49.47625272,3.444185086,6.557995489
