Trait,Trait_Type,GMST_Coef,GMST_Coef_sd,GMST_Coef_p,Fritz_D,Fritz_D_sd,consenTRAIT_Depth,consenTRAIT_p,Transition_Rate,PC1_Loading,PC2_Loading,PC3_Loading,PC1_Contribution,PC2_Contribution,PC3_Contribution
FD,FD_D,0.01098475292570986,0.00499266365639087,0.02779420906026416,-0.21560000000000001,0.032,9.6991,0,0.0042,-0.15924337432688,0.304961276383454,0.0393101520434146,2.53584522670107,9.30013800934256,0.154528805367637
FD,FD_I,-0.01098475292571207,0.0049926636563908,0.02779420906023056,-0.21560000000000001,0.032,9.6991,0,0.0022,0.15924337432688,-0.304961276383454,-0.0393101520434146,2.53584522670107,9.30013800934256,0.154528805367637
FS,FS_A,0.09787363252755882,0.00525236187811267,1.6962941455340217e-77,-0.2928,0.0381,6.5756,0,0.0022,0.104476520756523,-0.393082680926599,-0.235140057324418,1.09153433893882,15.4513994044442,5.52908465585307
FS,FS_Z,-0.0978736325275588,0.00525236187811272,1.6962941455398781e-77,-0.2928,0.0381,6.5756,0,0.0056,-0.104476520756523,0.393082680926599,0.235140057324418,1.09153433893882,15.4513994044442,5.52908465585307
FT,FT_D,-0.03235806017575287,0.0034161314930097,2.741802221108029e-21,-0.1637,0.0481,11.0147,0,0.0022,-0.378294822351434,-0.031799809034119,0.0369567429030104,14.3106972617903,0.101122785460644,0.136580084599921
FT,FT_F,0.03235806017557923,0.00341613149300964,2.7418022224382913e-21,-0.1637,0.0481,11.0147,0,0.0035,0.378294822351434,0.031799809034119,-0.0369567429030104,14.3106972617903,0.101122785460644,0.136580084599921
GF,GF_H,0.01987810775906005,0.00298901907272299,2.923405217509895e-11,-0.0762,0.0375,5.0039,0,0.0077,-0.375983270712188,-0.0951786529281666,-0.00962850939008309,14.1363419855434,0.90589759732204,0.00927081930749182
GF,GF_W,-0.01987810775906198,0.00298901907272331,2.923405217511359e-11,-0.0762,0.0375,5.0039,0,0.0064,0.375983270712188,0.0951786529281666,0.00962850939008309,14.1363419855434,0.90589759732204,0.00927081930749182
IF,IF_D,0.03113683012820183,0.0022713972487863,9.064529394078878e-43,-0.0026,0.0349,6.7169,0,0.0132,0.298307373979798,0.145579111046113,-0.259838017023985,8.89872893707228,2.11932775729765,6.75157950909565
IF,IF_I,-0.03113683012820326,0.002271397248786,9.064529393773555e-43,-0.0026,0.0349,6.7169,0,0.0073,-0.298307373979798,-0.145579111046113,0.259838017023985,8.89872893707228,2.11932775729765,6.75157950909565
LC,LC_A,-0.13196142212640305,0.01044755133971141,1.4273359095039518e-36,0.5441,0.0826,3.4377,0,0.075,-0.202202852516423,0.376498782247896,-0.0953282423009485,4.08859935657785,14.1751333034148,0.908747378018835
LC,LC_P,0.1319614221275354,0.01044755133972183,1.4273359077664088e-36,0.5441,0.0826,3.4377,0,0.0033,0.202202852516423,-0.376498782247896,0.0953282423009485,4.08859935657785,14.1751333034148,0.908747378018835
LM,LM_E,-0.03486932476240867,0.00224550235839777,2.2246023221982102e-54,0.0533,0.0426,6.059,0,0.008,0.307053944445508,0.0815809880558898,0.181775791252528,9.42821247995448,0.665545761217524,3.30424382854826
LM,LM_L,0.03486932476241197,0.0022455023583973,2.2246023220333867e-54,0.0533,0.0426,6.059,0,0.0154,-0.307053944445508,-0.0815809880558898,-0.181775791252528,9.42821247995448,0.665545761217524,3.30424382854826
LS,LS_C,0.05267387071501728,0.01068035687475303,8.145630683493446e-7,-0.3393,0.0556,6.7613,0,0.0057,-0.0481174296300503,0.175310785235925,-0.571420047279211,0.231528703420284,3.07338714200365,32.6520870432575
LS,LS_S,-0.05267387071500987,0.010680356874753631,8.145630683533829e-7,-0.3393,0.0556,6.7613,0,0.0018,0.0481174296300503,-0.175310785235925,0.571420047279211,0.231528703420284,3.07338714200365,32.6520870432575
LV,LV_P,0.06788285074699481,0.0041193482151307,5.1913568675755614e-61,-0.488,0.0308,3.987,0,0.0038,-0.286858979615518,-0.203263127059873,0.368218378142047,8.22880741860563,4.1315898822158,13.558477400156
LV,LV_R,-0.06788285074712952,0.00411934821513083,5.1913568648112855e-61,-0.488,0.0308,3.987,0,0.0014,0.286858979615518,0.203263127059873,-0.368218378142047,8.22880741860563,4.1315898822158,13.558477400156
OP,OP_E,0.08967228152876856,0.00425117658060419,9.121392981013857e-99,-0.4703,0.0264,12.3465,0,0.0032,0.123603151010615,0.114978816320849,0.483937298627853,1.52777389397528,1.32201282025435,23.4195309003224
OP,OP_H,-0.08967228152877064,0.00425117658060379,9.121392980534984e-99,-0.4703,0.0264,12.3465,0,8e-4,-0.123603151010615,-0.114978816320849,-0.483937298627853,1.52777389397528,1.32201282025435,23.4195309003224
PF,PF_C,0.07078668300092807,0.00330506388884466,9.150051979555335e-102,-0.3862,0.0297,6.6632,0,0.0023,-0.155205198683178,-0.433462433631165,-0.117406532439164,2.40886536982847,18.7889681369452,1.37842938593885
