ECO_ID,Long,Lat,Area,Realm
30129,18.00936313,1.076009345,128060.07,AT
30130,-9.499227383,6.9909554,204226.34,AT
30201,-23.91638848,15.88463704,4548.13,AT
30202,46.35378064,-16.92121982,151563.87,AT
30203,23.62692094,-13.91026721,38084.81,AT
30701,18.12600026,-12.47471496,657515.47,AT
30702,15.45621223,-17.9383202,133027.98,AT
30703,-14.36310373,-7.937476056,92.98,AT
30704,28.63616715,-9.577860989,1179319.11,AT
30705,25.09211353,8.432142047,913701.95,AT
30706,37.23781477,-12.23853209,482012.73,AT
30707,-1.440933881,8.874435565,670789.92,AT
30708,32.17082442,-7.145831695,7809.19,AT
30709,22.90137508,-21.07161382,334544.82,AT
30710,13.70017916,10.51550711,7478.52,AT
30711,36.88381404,0.659336716,324481.62,AT
30712,22.05918983,5.496270708,705005.77,AT
30713,14.84271951,14.77226347,3042451.41,AT
30714,35.57572343,-2.965511553,17947.56,AT
30715,43.49906724,5.896453646,1049300.8,AT
30716,35.33132673,-4.402341947,226769.74,AT
30717,28.51139444,-22.60676636,222541.11,AT
30718,21.94661201,-5.723135211,567187.29,AT
30719,31.33747902,-17.53223056,406913.35,AT
30720,-5.716802066,-15.96040139,130.03,AT
30721,32.12017909,0.588197999,165041.77,AT
30722,-0.930173403,11.85604792,1631859.78,AT
30723,15.0455601,-5.328216453,411615.43,AT
30724,22.93620174,-14.27741851,33889.66,AT
30725,31.01274027,-19.13712755,471873.65,AT
30726,21.22779606,-17.27346428,263554.21,AT
30801,57.47264552,23.16731601,25485.3,AT
30802,77.53301204,-37.96442626,69.24,AT
30803,-11.28537164,-38.52817491,167.43,AT
30901,35.7988699,-3.565685135,2625.76,AT
30902,16.37622738,-18.79241496,7208.25,AT
30903,-3.641082049,15.50288601,45868.05,AT
30904,13.45843327,13.30218017,18761.15,AT
30905,31.48122045,7.812708486,178951.59,AT
30906,35.71479889,-18.74040739,19483.7,AT
30907,27.73953379,-13.28302487,152878.25,AT
30908,27.604028,-21.46844856,30289.21,AT
31001,15.05346403,-12.57076327,25418.47,AT
31002,13.74447808,-9.280657319,74054.95,AT
31003,28.59470531,-29.75921584,11893.57,AT
31004,28.91474578,-29.45478385,201961.6,AT
31005,36.7688962,-1.273765845,3273.29,AT
31006,32.76796736,-18.97432527,7804.11,AT
31007,38.28948768,9.791951467,244349.05,AT
31008,38.90689989,8.918108021,25049.13,AT
31009,27.49232154,-27.63055072,185863.22,AT
31010,9.078883445,9.7417018,13281.3,AT
31011,47.79427394,-17.72880272,1273.47,AT
31012,29.0288536,-31.04511751,19515.04,AT
31013,29.81846605,-0.161040238,2661.32,AT
31014,35.1070949,-15.74059528,10191.36,AT
31015,34.07185094,-10.2588285,33360.37,AT
31201,24.51483805,-33.29471026,17083.5,AT
31202,20.22460884,-33.70949445,32744.14,AT
31203,20.71290294,-33.16095472,45779.89,AT
31301,46.36734879,-9.398320641,159.48,AT
31302,49.29713448,16.90530395,82688.99,AT
31303,22.94426119,16.48732218,27774.61,AT
31304,42.77956546,12.83601604,4576.83,AT
31305,41.91167155,12.62117509,152523.86,AT
31306,57.37369001,23.24907849,62297.2,AT
31307,47.2440137,4.09591761,25454.46,AT
31308,40.35504632,-22.33888554,21.72,AT
31309,21.26204948,-24.71125633,586846,AT
31310,12.57119549,-17.03145544,45584.86,AT
31311,44.85549247,-24.31192492,43294.39,AT
31312,44.81297445,-22.49224693,79496.42,AT
31313,37.79729486,2.585552543,100504.99,AT
31314,21.82185143,-30.20625055,350725.51,AT
31315,15.07642428,-23.83259803,80688.88,AT
31316,15.34676102,-21.44832309,224902.56,AT
31318,53.79986462,12.49235868,3803.24,AT
31319,49.15376083,10.30346987,62374.78,AT
31320,44.50095049,17.45941262,273757.56,AT
31321,43.11008167,17.63267569,86631.81,AT
31322,18.41232012,-30.53062284,102584.55,AT
31401,7.121810985,3.401815739,30791.14,AT
31402,37.76501828,-12.5511116,16013.02,AT
31403,-14.03916457,10.21004703,23418.89,AT
31404,45.18507928,-17.15530011,5188.06,AT
31405,31.64682137,-28.86083246,992.56,AT
40101,92.78361362,12.29168524,5695.61,IM
40102,114.1196179,0.999154862,425582.5,IM
40103,115.0763141,2.197818833,115078.36,IM
40104,113.04879,0.363186566,67171.52,IM
40105,93.18051879,26.84630837,56612.74,IM
40106,103.1282361,12.13631588,44074.28,IM
40107,100.4037511,14.68466831,38858.31,IM
40108,100.280395,13.45730898,20337.1,IM
40109,93.73875257,21.88903244,29616.92,IM
40110,104.5040156,-10.67492707,133.96,IM
40111,82.0305393,20.51753714,340170.81,IM
40112,113.1752694,-8.028879458,15829.32,IM
40113,112.2922739,-7.566674869,53666.28,IM
40114,122.9481995,10.77403548,34855.92,IM
40115,84.78575358,27.64300993,38124.69,IM
40116,95.53063547,16.81719593,15106.76,IM
40117,95.58408411,21.25205787,137910.42,IM
40118,114.0761942,26.01862782,662291.51,IM
40119,98.30217518,18.26868705,119158.25,IM
40120,88.25462242,24.66062319,253508.55,IM
40121,102.226529,18.53347557,71585.04,IM
40122,121.33471,16.38585003,8272.78,IM
40123,121.5380572,15.76682356,94876.82,IM
40124,75.11648197,13.06620266,35330.59,IM
40125,95.26442649,7.602204384,542.14,IM
40126,91.95571735,25.7252213,41629.29,IM
40127,99.52203992,-2.081780942,6469.63,IM
40128,125.09595,7.563711441,18120.24,IM
40129,124.7594791,8.562796477,104666.56,IM
40130,121.0700697,12.93838543,10079.03,IM
40131,94.2666744,23.91581872,135245.25,IM
40132,95.8302617,17.36150668,66332.25,IM
40133,93.59206028,7.508915861,1688.34,IM
40134,74.11486923,17.32264383,48043.62,IM
40135,74.58699725,15.27869196,30824.7,IM
40136,105.37167,17.73699686,47052.57,IM
40137,100.7282637,22.18350896,435869.36,IM
40138,103.1422386,17.94683135,16794.31,IM
40139,100.7410259,18.53052945,42010.13,IM
40140,97.17380426,26.33043723,53773.71,IM
40141,106.1613422,18.32525801,22521.87,IM
40142,85.79316445,20.25862885,22227.64,IM
40143,118.7365288,9.974531536,14278.39,IM
40144,101.633651,4.84690909,17097.49,IM
