"Trait","Model","LogLik","AICc","Rate_1_to_2","Rate_2_to_1","Delta_AICc","Weight"
"LM","ARD",-10656.6382,21317.2767,0.008,0.0154,0,1
"LM","ER",-10763.3745,21528.7492,0.0107,0.0107,211.4725,0
