"Trait","Model","LogLik","AICc","Rate_1_to_2","Rate_2_to_1","Delta_AICc","Weight"
"SS","ARD",-7531.5177,15067.0356,0.0025,0.0075,0,1
"SS","ER",-7692.1977,15386.3954,0.0038,0.0038,319.3597,0
